English,Bangla
aren t tom and mary both from australia?,টম এব ম র দ জন ই ক অস ট র ল য র নয ?
aren t both tom and mary from australia?,টম এব ম র দ জন ই ক অস ট র ল য র নয ?
bacteria are invisible to the naked eye ,ব য কট র য খ ল চ খ দ খ য য ন ।
bauxite is the main source of aluminium ,বক স ইট হল অ য ল ম ন য ম র প রধ ন উ স।
bauxite is the main source of aluminium ,অ য ল ম ন য ম র প রধ ন উ স হল বক স ইট।
do you really think tom is disorganized?,আপন ক সত য ই টমক অগ ছ ল মন কর ন?
do you think that you re better than me?,ত ম ক মন কর ত ম আম র চ য ভ ল ?
eisenhower was elected in november 1952 ,আইজ নহ ওয র স ল র নভ ম বর ন র ব চ ত হন।
have you ever heard tom speaking french?,আপন ক কখন টমক ফর স ত কথ বলত শ ন ছ ন?
have you ever heard tom speaking french?,ত ম ক কখন টমক ফর স ত কথ বলত শ ন ছ ?
he didn t want to talk about it anymore ,উন আর এই ব যপ র ক ন কথ বলত চ ন ন ।
he should have finished his work by now ,এতক ষণ ত র ক জ শ ষ কর উচ ত ছ ল।
how did you get tom to buy that for you?,ত ম ক ওট ক ন দ ওয র জন য টমক ক ভ ব র জ কর ল ?
how long have you been living in boston?,আপন বস টন কত বছর ধর আছ ন?
how long have you been living in boston?,ত ম বস টন কত বছর ধর আছ ?
i am proud to be a part of this project ,আম এই প রকল প র একট অ শ হয গর ব ত।
i can read french but i can t speak it ,আম ফর স পড ত প র ক ন ত বলত প র ন ।
i don t know if i ll have time to do it ,আম জ ন ন এট কর র জন য সময প ব ক ন ।
i downloaded the file that tom uploaded ,টম য ফ ইলট আপল ড কর ছ আম স ট ড উনল ড করল ম।
i found no shoes completely to my taste ,আম প র প র আম র পছন দ মত ক ন জ ত প ল ম ন ।
i noticed that she sat in the front row ,আম লক ষ য করল ম য স স মন র স র ত বস ছ ।
i think it s time you and tom went home ,আম র মন হয ত ম র আর টম র ব ড য ওয র সময হয গ ছ ।
i wonder if tom and mary have both left ,আম ভ বছ টম এব ম র দ জন ই চল গ ছ ক ন ।
i wonder if both tom and mary have left ,আম ভ বছ টম এব ম র দ জন ই চল গ ছ ক ন ।
i m considering going back to australia ,আম অস ট র ল য য ফ র য ওয র কথ ভ বছ ।
i m not as conservative as i used to be ,আম আগ র মত রক ষণশ ল নই।
i m not sure what time tom will be home ,টম কখন ব ড ত আসব ত আম ন শ চ ত নই।
i m very sorry that i came home so late ,আম দ র কর ব ড আস য দ খ ত।
i ve given up on trying to surprise you ,আম আপন ক অব ক কর র চ ষ ট ছ ড দ য ছ ।
if all goes well i ll come and see you ,সব ঠ কঠ ক থ কল আম এস ত ম র স থ দ খ করব।
if they don t work they don t get paid ,ত র ক জ ন করল ব তন প য ন ।
most of the work is performed by robots ,ব শ রভ গ ক জ র বট দ ব র সঞ চ ল ত হয ।
my brother is two years older than i am ,আম র ভ ই আম র থ ক দ বছর র বড ।
pollution is a serious problem in china ,চ ন র একট ম র ত মক সমস য হল দ ষণ।
south africa became independent in 1961 ,দক ষ ণ আফ র ক স ল স ব ধ ন হয ।
the nile is the largest river in africa ,ন ল নদ আফ র ক র ব হত তম নদ ।
the accident occurred yesterday morning ,দ র ঘটন ট গতক ল সক ল ঘট ছ ।
the budget of the film was very limited ,ছব র ব জ ট ছ ল খ বই স ম ত।
the novel has sold almost 20 000 copies ,উপন য সট র প র য ট কপ ব ক র হয ছ ।
the police are investigating the murder ,প ল শ খ নট র তদন ত করছ ।
the servants screams awakened everyone ,চ করগ ল র চ ক র সব ইক জ গ য দ ল ।
this area is famous for its good apples ,এই এল ক ভ ল আপ ল র জন য ব খ য ত।
this is the shortest way to the station ,এট ক স ট শন য ওয র সবথ ক ছ ট র স ত ?
this river flows into the pacific ocean ,এই নদ ট প রশ ন ত মহ স গর গ য পড ।
tom didn t want me to come to australia ,টম চ য ন আম অস ট র ল য য আস ।
tom is watching a movie on his computer ,টম ত র কম প উট র চলচ চ ত র দ খছ ।
tom isn t interested in becoming famous ,টম ব খ য ত হত আগ রহ নয ।
tom reads the washington post every day ,টম প রত য কদ ন ওয শ টন প ষ ট পর ন।
tom shouldn t have left the window open ,টম র জ ন ল র দরজ ট খ ল র খ উচ হয ন ।
tom stared at mary from across the room ,ঘর র মধ য দ য টম ম র র দ ক চ ইল।
translating this text will be very easy ,এই ল খ ট খ ব সহজ ই অন ব দ কর য ব ।
we always spend our vacation by the sea ,আমর সবসময সম দ র র ধ র আম দ র ছ ট ক ট ই।
well the night is quite long isn t it?,র তট খ ব বড ত ই ন ?
what do you want to be when you grow up?,ত ম বড হয ক হত চ ও?
what do you want to be when you grow up?,ত ই বড হয ক হত চ স?
what time do you usually have breakfast?,আপন স ধ রণত ক ন সময সক ল র ন স ত কর ন?
what s your favorite television program?,আপন র প র য ট ল ভ শন ক র যক রমট ক ?
what s your favorite television program?,ত ম র প র য ট ল ভ শন ক র যক রমট ক ?
when she heard it she got very excited ,কথ ট শ ন স খ ব উত ত জ ত হয গ ল।
when was the last time you ate a cookie?,শ ষব র আপন কখন ব স ক ট খ য ছ ল ন?
where is the tourist information office?,পর যটন অফ সট ক থ য ?
would you like some coffee or something?,আপন খ ন ক কফ ব অন য ক ছ চ ন?
would you like to come shopping with me?,ত মর ক আম র স থ ক ন ক ট করত য ত য ব ?
would you like to come shopping with me?,ত ম ক আম র স থ ক ন ক ট করত য ত য ব ?
would you like to come shopping with me?,আপন র ক আম র স থ ক ন ক ট করত য ত য ব ন?
would you like to come shopping with me?,আপন ক আম র স থ ক ন ক ট করত য ত য ব ন?
 where s the cat? it s under the sofa , ব ড লট ক থ য ? স ফ র ন চ আছ । 
are you certain that you locked the door?,দরজ য ত ল ল গ ন র ব য প র ত ম ক ন শ চ ত?
are you certain that you locked the door?,আপন ক ন শ চ ত য দরজ য ত ল ল গ য ছ ন?
can you please repeat what you just said?,আপন য ট বলল ন স ট ক দয কর আর একব র বলত প রব ন?
can you recommend a good hotel in boston?,আপন বস টন ক ন ভ ল হ ট ল র স প র শ করত প রব ন?
could you write down the address please?,আপন ক দয কর ঠ ক ন ট ল খ দ ত প রব ন?
did they understand what you were saying?,আপন ক বলছ ন ত র ক ব ঝত প র ছ ?
divorce is becoming more common nowadays ,ব ব হব চ ছ দ এখনক র দ ন খ বই স ধ রণ হইয গ ছ ।
everyone has both strong and weak points ,প রত য ক রই শক ত শ ল এব দ র বল উভয দ ক রয ছ ।
half of the island remains uninhabitable ,দ ব পট র অর ধ ক বসব স র অন পয ক ত।
he doesn t eat anything other than fruit ,স ফল ছ ড অন য ক ছ খ য ন ।
he doesn t eat anything other than fruit ,ও ফল ছ ড অন য ক ছ খ য ন ।
he doesn t eat anything other than fruit ,উন ফল ছ ড অন য ক ছ খ ন ন ।
he doesn t eat anything other than fruit ,ত ন ফল ছ ড অন য ক ছ খ ন ন ।
he put down his thoughts in his notebook ,ত ন ত র চ ন ত ভ বন গ ল ত র ন টব ক ল খ র খ ছ ল ন।
how can i get to the nearest post office?,সবথ ক ক ছ র ড কঘর ক ভ ব য ব?
how many churches are there in this city?,এই শহর কয ট গ র জ আছ ?
how many people are there in this office?,এই অফ স কতজন আছ ?
i can t believe tom really said no to me ,আম ব শ ব সই করত প রছ ন য সত য ই আম ক ন বল ছ ।
i don t think that it will rain tomorrow ,আম র মন হয ন ক লক ব ষ ট হব ।
i don t usually watch this kind of movie ,আম স ধ রণত এই ধরন র ম ভ দ খ ন ।
i had no difficulty in finding his house ,ত র ব ড খ জ প ত আম র ক ন অস ব ধ হয ন ।
i hope you don t take this the wrong way ,আম আশ কর আপন এট ক ভ ল পথ ন ব ন ন ।
i know that this is really scary for you ,আম জ ন য এট আপন র জন য সত য ই ভ ত জনক।
i know that you don t want to talk to me ,আম জ ন ত ম আম র স থ কথ বলত চ ও ন ।
i know that you don t want to talk to me ,আম জ ন য ত ম আম র স থ কথ বলত চ ও ন ।
i should be studying for tomorrow s exam ,আম র আগ ম ক ল র পর ক ষ র জন য পড শ ন কর উচ ত।
i was thinking about buying a new camera ,আম একট নত ন ক য ম র ক ন র কথ ভ বছ ল ম।
i would like to be a pilot in the future ,আম ভব ষ যত প ইলট হত চ ই।
i d like a room facing the ocean instead ,ত র বদল আম র সম দ র র দ ক ম খ কর একট ঘর চ ই।
i d like to reserve a seat on this train ,আম এই ট র ন একট আসন স রক ষণ করত চ ই।
i ll call them tomorrow when i come back ,আম ক ল যখন ফ রব ওদ রক একব র কল করব ।
i ll call them tomorrow when i come back ,আম ক ল যখন ফ রব ওন দ রক একব র কল করব ।
i m taking a trip to australia next year ,আম পর র বছর অস ট র ল য সফর য চ ছ ।
i ve never smoked a cigarette in my life ,আম জ বন কখন স গ র ট খ ইন ।
it was marie curie who discovered radium ,ম র ক র ই র ড য ম আব ষ ক র কর ছ ল ন।
soccer is the world s most popular sport ,ফ টবল ব শ ব র সবচ য জনপ র য খ ল ।
some of my friends can speak french well ,আম র বন ধ দ র মধ য ক উ ক উ ভ ল ফর স বলত প র ।
that s the difference between you and me ,আপন র আম র মধ য একট প র থক য আছ ।
the building was heavily damaged by fire ,আগ ন ভবনট র ব য পক ক ষত হয ছ ।
the day after tomorrow is tom s birthday ,আগ ম পরশ টম র জন মদ ন।
the price of gold varies from day to day ,স ন র দ ম প রত দ ন পর বর ত ত হয ।
the room charge is 100 a night plus tax ,ঘর ভ র ট য ক স সহ ।
the room was filled with cigarette smoke ,ঘরট স গ র ট র ধ য য ভর ত হয গ ছ ল।
today is my parents wedding anniversary ,আজ আম র ব ব ম য র ব ব হ ব র ষ ক ।
tom didn t want mary to wear any jewelry ,ম র য ক ন গয ণ পর স ট টম চ ইত ন ।
tom has decided he s going to come early ,টম স দ ধ ন ত ন য ছ য স ত ড ত ড আসব ।
tom obviously likes hearing himself talk ,টম স পষ টতই ন জ র কথ শ নত পছন দ কর ।
tom probably won t attend the conference ,টম সম ভবত সম ম লন য গ দ ব ন ।
tom slept for three hours this afternoon ,টম আজ ব ক ল ত ন ঘন ট ঘ ম য ছ ।
tom told me he could get us what we need ,টম আম ক বল ছ ল য স আম দ র য দরক র ত দ ব ।
unfortunately i don t remember anything ,দ র ভ গ যবশত আম র ক ছ ই মন ন ই।
we ll just do something else if it rains ,ব ষ ট হল আমর অন য ক ছ করব।
when were potatoes introduced into japan?,জ প ন কব থ ক আল র প রবর তন হয ছ ল?
where were you at the time of the murder?,খ ন র সময আপন ক থ য ছ ল ন?
why don t you try to get your money back?,আপন আপন র ট ক ট ফ রত ন ওয র চ ষ ট করছ ন ন ক ন?
why don t you try to get your money back?,ত ম ত ম র ট ক ট ফ রত ন ওয র চ ষ ট করছ ন ক ন?
why don t you try to get your money back?,ত ই ত র ট ক ট ফ রত ন ওয র চ ষ ট করছ স ন ক ন?
 what time is it now? it s ten o clock , এখন কট ব জ ? দশট ব জ । 
a millimeter is one thousandth of a meter ,একট ম ল ম ট র একট ম ট র র এক হ জ র ভ গ র এক ভ গ।
are you just going to stand there all day?,আপন ক স র দ ন ওইখ ন ই দ ড য থ কব ন?
are you just going to stand there all day?,ত ম ক স র দ ন ওইখ ন ই দ ড য থ কব ?
didn t you know that tom is afraid of you?,আপন ক জ নত ন ন য টম আপন ক ভয প য ?
he continued his work after a short break ,অল প ব রত র পর ত ন ত র ক জ চ ল য য ন।
how did you know i wanted to go to boston?,ত ম ক ভ ব জ নল আম ব স টন য ত চ ই?
how do you expect me to do all this alone?,আপন ক কর আশ কর ন য আম এই ক জট একল করব ?
how much money would you like to withdraw?,আপন কত ট ক ত লত চ ন?
i arrived at the station ten minutes late ,আম স ট শন দশ ম ন ট দ র কর প ছ ছ ল ম।
i can speak chinese but i can t write it ,আম চ ইন জ বলত প র ক ন ত আম ল খত প র ন ।
i can speak french but only a little bit ,আম ফর স ত কথ বলত প র ক ন ত খ ল একট খ ন ।
i didn t want anybody to know where i was ,আম চ ইন ক উ জ ন ক আম ক থ য ছ ল ম।
i don t think tom is responsible for that ,আম র মন হয ন টম এট র জন য দ য ।
i don t think that we ll have enough time ,আম র মন হয ন আমর যথ ষ ট সময প ব ।
i need to buy some medicine for my father ,আম আম র ব ব র জন য ক ছ ওষ ধ ক নত চ ই।
i think tom didn t want to leave so early ,আম র মন হয টম এত ত ড ত ড চল য ত চ য ন ।
i think tom said his last name is jackson ,আম র মন হয টম বল ছ ল য ওর পদব জ য কসন।
i think that you shouldn t have said that ,আম মন কর ত ম র ওট বল উচ ত হয ন ।
i d like you to consider joining our club ,আম চ ই আপন আম দ র ক ল ব য গদ ন কর র কথ ব ব চন কর ন।
i m still good friends with my ex husband ,এখনও আম র প র ক তন স ব ম র স থ আম র ভ ল বন ধ ত ব রয ছ ।
i ve been thinking about buying a new car ,আম একট নত ন গ ড ক ন র কথ ভ বছ ।
i ve made that same mistake several times ,আম স ই একই ভ ল বহ ব র কর ছ ।
is there a public toilet in this building?,এই ইম রতট ত ক ক ন সর বজন ন শ চ গ র আছ ?
let me know if there is anything i can do ,আম র ক ছ কর র থ কল জ ন ও।
let me know if there is anything i can do ,আম র ক ছ কর র থ কল জ ন ব ন।
let s first see what happens in australia ,চল ন প রথম দ খ য ক অস ট র ল য য ক হয ।
mistakes like these are easily overlooked ,এই ধরন র ভ লগ ল খ ব সহজ ই উপ ক ষ কর হয ।
there s no chance of this happening again ,এট আর হওয র ক ন স য গ ন ই।
these two things are completely unrelated ,এই দ ট জ ন স সম প র ণ অসম পর ক ত।
tom can t read all these books in one day ,টম একদ ন এতগ ল বই পড ত প রব ন ।
tom is alone in the dining room with mary ,টম খ ব র ঘর ম র র স থ একল রয ছ ।
tom is going to be executed in three days ,ত ন দ ন পর টম র ফ স হব ।
tom learned to drive when he was eighteen ,টম যখন আঠ র বছর র ছ ল তখন গ ড চ ল ন শ খ ছ ।
tom stayed in the hospital for three days ,টম ত নদ ন হ সপ ত ল ছ ল।
tom told me his father was born in boston ,টম আম ক বল ছ ল ত র ব ব র জন ম ব স টন ।
tom told me that he wants to go to boston ,টম আম ক বলল য স বস টন য ত চ য ।
tom will never be able to keep up with us ,টম কখ নই আম দ র স থ প র উঠব ন ।
tom s mother and sister had breast cancer ,টম র ম ও ব ন র স তন ক য ন স র ছ ল।
what are you going to be when you grow up?,ত ম বড হয ক হব ?
what are you going to be when you grow up?,ত ই বড হয ক হব ?
what time does the train for boston leave?,বস টন র ট র নট কট র সময ছ ড ?
why were you absent from school yesterday?,ত ম ক ল ব দ য লয অন পস থ ত ছ ল ক ন?
you never mentioned you were tom s friend ,আপন কখনই উল ল খ কর নন য আপন টম র বন ধ ছ ল ন।
you re going to have to come with us tom ,টম ত ম ক আম দ র স থ আসত হব ।
you re in no position to make any demands ,আপন ক ন ক ছ দ ব কর র মতন জ য গ য ন ই।
you re supposed to be working aren t you?,আপন র ক জ কর র কথ ত ই ন ?
you ve known tom a lot longer than i have ,আপন টমক আম র থ ক অন ক ব শ দ ন ধর চ ন ন।
 pass me the salt please here you are , অন গ রহ কর ন নট এগ য দ ব ন। এই ন ন। 
 pass me the salt please here you are , অন গ রহ কর ন নট এগ য দ ব ন। এই ন ও। 
are tickets for the concert available here?,সঙ গ ত ন ষ ঠ ন র জন য ট ক ট ক প ওয য চ ছ ?
besides teaching english he writes novels ,ই র জ শ খ ন র প শ প শ ত ন উপন য স ল খ ন।
could you please repeat what you just said?,আপন য ট বলল ন স ট ক দয কর আর একব র বলত প রব ন?
didn t you know tom used to live in boston?,আপন জ নত ন ন য টম ব স টন থ ক ?
give me a couple of minutes alone with tom ,আম ক একল টম র সঙ গ দ ম ন ট সময দ ও।
how could i be a robot? robots can t dream ,আম ক ভ ব র বট হত প র ? র বট স বপ ন দ খত প র ন ।
i came near to being run over by the truck ,আম ট র ক চ প পড ত পড ত ব চ গ য ছ ল ম।
i can t believe that you bought that house ,আম ব শ ব স করত প রছ ন য আপন স ই ব ড ট ক ন ছ ন।
i can t seem to focus on work at all today ,আম আজক ক জ মনয গ দ ত প রছ ন ।
i don t think that tom is going to hear us ,আম মন কর ন য টম আম দ র কথ শ নব ।
i don t want to waste time on this problem ,আম এই সমস য য সময নষ ট করত চ ই ন ।
i have to take my medicine every six hours ,আম ক ছয ঘণ ট অন তর অন তর ওষ ধ খ ত হয ।
i should ve hit tom while i had the chance ,যখন আম র ক ছ স য গ ছ ল তখনই আম র টমক আঘ ত কর উচ ত ছ ল।
i think you ll probably be able to do that ,আম মন কর আপন সম ভবত এট করত সক ষম হব ন।
i used to go to australia when i was a kid ,আম ছ টব ল য অস ট র ল য য ত ম।
i wouldn t want to do that if it s illegal ,এট ব আইন হল আম এট করত চ ই ন ।
is she singing a song or playing the piano?,স ক গ ন গ ইছ ন ক প য ন ব জ চ ছ ?
is there anything else you want to tell me?,আর অন য ক ছ ক আপন আম ক বলত চ ন?
nothing that tom does surprises me anymore ,টম র ক ন ক জ ই এখন আম ক অব ক কর ন ।
the battle of gettysburg lasted three days ,গ ট সব র গ র য দ ধ ত ন দ ন স থ য হয ছ ল।
the villagers believed in life after death ,গ র ম র ম ন ষর ম ত য র পর র জ বন ব শ ব স করত।
these three countries were united into one ,এই ত নট দ শ একত র ত হয ছ ল।
this carpet is more valuable than that one ,এই ক র প টট এট র চ য ব শ ম ল যব ন।
tom is the only one who doesn t seem happy ,একম ত র টমক ই খ শ বল মন হচ ছ ন ।
tom said mary didn t need to do that again ,টম বলল ম র র আর এট কর র দরক র ন ই।
tom said he knew who mary s ex husband was ,টম বল ছ ল য স জ ন ম র র প র ক তন স ব ম ক ।
tom said he knew who mary s ex husband was ,টম বল ছ ল ম র র প র ক তন স ব ম ক ত স জ ন ।
tom sat alone on the porch smoking a cigar ,টম এক এক উঠ ন বস স গ র খ চ ছ ল ।
tom seems to know quite lot about baseball ,টম ব সবল সম বন ধ অন ক ক ছ জ ন বল মন হচ ছ ।
tom was standing at the bar having a beer ,টম ব র দ ড য ব য র খ চ ছ ল।
tom will arrive in boston tomorrow morning ,টম আগ ম ক ল সক ল বস টন প ছ ব ।
we need to get in touch with tom s parents ,টম র ব ব ম য র সঙ গ আম দ র য গ য গ কর দরক র।
we should help each other in times of need ,প রয জন র সময আম দ র এক অপরক স হ য য কর উচ ত।
we should help each other in times of need ,প রয জন র সময আম দ র পরস পরক সহয গ ত কর উচ ত।
what ll you be doing at this time tomorrow?,ক ল আপন এই সময ক করব ন?
what ll you be doing at this time tomorrow?,ক ল ত ম এই সময ক করব ?
would you please repeat what you just said?,আপন য ট বলল ন স ট ক দয কর আর একব র বলত প রব ন?
you ve got to do something about this soon ,আপন ক খ ব ত র ত র ই এই ব য প র ক ছ একট করত হব ।
do you really want me to go there right now?,আপন ক সত য ই চ ন আম এখন স খ ন য ই?
don t ask what they think ask what they do ,জ জ ঞ স ক র ন ত র ক ভ ব জ জ ঞ স কর ত র ক কর ।
even if it rains i ll go swimming tomorrow ,ক ল ব ষ ট হল ও আম স ত র ক টত য ব ।
have you ever seen the person in this photo?,আপন ক এই ছব র মধ য র ল কট ক দ খ ছ ন?
have you ever seen the person in this photo?,ত ম ক এই ছব র মধ য র ল কট ক দ খ ছ ?
how long does it take to get to the station?,স ট শন য ত কতক ষণ ল গ ?
how much does it cost to stay at that hotel?,ওই হ ট ল থ ক র জন য কত খরচ পরব ?
i can t understand what he is trying to say ,আম ব ঝত প রছ ন উন ক বলত চ ইছ ন।
i didn t know tom was capable of doing that ,আম জ নত ম ন টম এট করত সক ষম।
i have a feeling that tom doesn t like mary ,আম র মন হচ ছ টম ম র ক পছন দ কর ন ।
i hope tom will tell me what i need to know ,আশ কর আম র য জ ন প রয জন ত টম আম ক বলব ।
i only speak french at home with my parents ,আম ব ড ত ম ব ব র সঙ গ খ ল ফর স ত কথ বল ।
i still get to boston at least once a month ,আম এখনও ম স অন তত একব র ব স টন য ই।
i think you ve read too many romance novels ,আম র মন হয আপন অন ক র ম ন স উপন য স পড ছ ন।
i d like to dedicate this song to my mother ,আম এই গ নট আম র ম ক উ সর গ করত চ ই।
i m not going to allow this to happen again ,আম এট আর হত দ ব ন ।
it sounds like you had a successful meeting ,মন হচ ছ আপন একট সফল ম ট কর ছ ন।
it takes years to master a foreign language ,ব দ শ ভ ষ রপ ত করত অন ক বছর ল গ য য ।
kublai khan is the grandson of genghis khan ,ক বল ই খ ন চ ঙ গ স খ ন র ন ত ।
life without love is just totally pointless ,ভ লব স ছ ড জ বন অর থহ ন।
lithuania is a member of the european union ,ল থ য ন য ইউর প য ইউন য ন র সদস য।
motorists are advised to drive with caution ,গ ড চ লকদ র স বধ ন গ ড চ ল ন র পর মর শ দ ওয হচ ছ ।
my father has assured us that that was true ,আম র ব ব আম দ র আশ বস ত কর ছ য এট সত য।
my friend doesn t believe that ghosts exist ,আম র বন ধ ভ ত র অস ত ত ব ব শ ব স কর ন ।
my watch stopped so i didn t know the time ,আম র ঘড বন ধ হয গ য ছ ল ত ই আম সময জ নত ম ন ।
please help me i don t know what i m doing ,আম ক স হ য য কর ন! আম জ ন ন আম ক করছ ।
several children were playing near the pond ,প ক র র ক ছ ব শ ক ছ শ শ খ লছ ল।
the olympic games are held every four years ,প রত চ র বছর অন তর অল ম প ক গ মস অন ষ ঠ ত হয ।
this is the very book that i wanted to read ,এট ই স ই বই য ট আম পড ত চ ই।
tom and mary s wedding anniversary is today ,টম এব ম র র ব ব হ ব র ষ ক আজ।
tom didn t have the nerve to tell the truth ,টম র সত য বল র স হস ছ ল ন ।
tom has three sons all of them are doctors ,টম র ত নট ছ ল আছ । ত দ র সকল ই ড ক ত র।
tom is going on a picnic tomorrow with mary ,টম আগ ম ক ল ম র র স থ প কন ক য চ ছ ।
tom lied about his age to get into the club ,টম ক ল ব ঢ ক র জন য ন জ র বয স র ব য প র ম থ য কথ বল ছ ।
tom said that mary could ve done that alone ,টম বলল য ম র এক ই এট করত প রত।
tom tried to speak to mary but he couldn t ,টম ম র র স থ কথ বল র চ ষ ট কর ছ ল ক ন ত স প র ন ।
what number bus do i take to get to waikiki?,ওয ইক ক য ওয র জন য কত নম বর ব স ন ব?
would you like to come with us to the beach?,আপন ক আম দ র স থ সম দ র স কত আসত চ ন?
you know i don t have to do that don t you?,ত ম জ ন আম ক এট করত হব ন ত ই ন ?
you re not going to get away with this tom ,টম ত ম এর থ ক প র প য য ব ন ।
you re not the first person to tell me that ,আপন প রথম ম ন ষ নন য আম ক এই কথ ট বল ছ ।
alexander graham bell invented the telephone ,আল কজ ন ড র গ র হ ম ব ল ট ল ফ ন আব ষ ক র কর ন।
an official statement was released yesterday ,গতক ল একট আন ষ ঠ ন ক ব ব ত প রক শ কর হয ।
are there many chinese restaurants in boston?,বস টন ক অন ক চ ন র স ত র আছ ?
did tom actually come to ask for money again?,টম ক আসল ই আব র ট ক চ ইত এস ছ ?
earthquakes and floods are natural disasters ,ভ ম কম প আর বন য প রক ত ক ব পর যয ।
how long does it take to walk to the station?,স ট শন অবধ হ ট য ত কতক ষণ ল গ ?
how much does it cost to eat at such a place?,ওই রকম জ য গ য খ ত গ ল কত খরচ পরব ?
humans are healed but machines are repaired ,ম ন ষক স স থ কর ত ল হয ক ন ত যন ত রক ম র মত কত হয ।
i am going to do it whether you agree or not ,ত ম র জ হও ব ন হও আম এট করব।
i am going to stay here for a couple of days ,আম এখ ন দ এক দ ন র জন য থ কব।
i am staying at the hotel for the time being ,আপ তত আম একট হ ট ল রয ছ ।
i can only speak french and a little english ,আম খ ল ফর স আর একট ই র জ ত কথ বলত প র ।
i have to give back the book before saturday ,আম ক শন ব র র আগ বইট ফ রত দ ত হব ।
i know that you and tom didn t sing together ,আম জ ন আপন এব টম একস থ গ ন কর নন ।
i used to go to australia when i was a child ,আম ছ টব ল য অস ট র ল য য ত ম।
i ll do my best not to disturb your studying ,ত ম র পড শ ন য ব রক ত ন কর র যথ স ধ য চ ষ ট করব ।
i ll show you how to separate gold from sand ,ব ল থ ক স ন ক ভ ব আল দ করত হয ত আম আপন ক দ খ ব ।
i ve discussed this with you before i think ,আম র মন হয এই ব ষয আগ ও আপন র স থ আল চন কর ছ ।
it would be difficult to do that by yourself ,ন জ ন জ এট কর কঠ ন।
mexico is a country located in north america ,ম ক স ক উত তর আম র ক য অবস থ ত একট দ শ।
president roosevelt won the election of 1940 ,র ষ ট রপত র জভ ল ট স ল ন র ব চন জয হন।
some minerals are important for human health ,ক ছ খন জ ম নব স ব স থ য র জন য গ র ত বপ র ণ।
the bus stop is five minutes walk from here ,ব স স টপট এখ ন থ ক প চ ম ন ট র হ ট পথ।
the concept of zero comes from hindu culture ,শ ন য র ধ রণ হ ন দ স স ক ত হত এস ছ ।
the court found him guilty of stealing money ,আদ লত ত ক ট ক চ র র দ য দ ষ স ব যস ত কর ছ ।
the newspaper says that he committed suicide ,পত র ক য বল হয ত ন আত মহত য কর ছ ন।
this is the third longest river in the world ,এট প থ ব র ত ত য দ র ঘতম নদ ।
tom is eating breakfast alone in the kitchen ,টম র ন ন ঘর একল প র তর শ করছ ।
tom is reading a novel by sidney sheldon now ,টম এখন স ডন শ লডন র ল খ একট উপন য স পড ছ ।
tom said he was going to ask mary to do that ,টম বল ছ ল য স ম র ক এট করত বলব ন।
tom said that mary wanted to see the manager ,টম বলল য ম র ব যবস থ পকক দ খত চ য ।
tom saw dirty footprints on the white carpet ,টম ক র প ট র উপর ন র প য র ছ প দ খত প ল।
tom was standing at the bar drinking a beer ,টম ব র দ ড য ব য র খ চ ছ ল।
tom went to the post office to mail a letter ,টম একট চ ঠ ড ক দ ওয র জন য প স ট অফ স গ ল ।
tom works very hard but not as hard as mary ,টম খ ব খ ট ক ন ত ম র র মত নয ।
turn to the right and you ll find my office ,ড ন ব ক ন ল আপন আম র অফ স প ব ন।
visit our website for additional information ,অত র ক ত তথ য র জন য আম দ র ওয বস ইট য ন।
without your assistance i would have failed ,আপন র স হ য য ব য ত ত আম অক তক র য হত ম।
would you like to see some photos of my trip?,আপন ক আম র ভ রমণ র ক ছ ছব দ খত চ ন?
your success is the result of your hard work ,আপন র স ফল য আপন র কঠ র পর শ রম রই ফল।
a lot of english words are derived from latin ,ই র জ র অন ক শব দ ল ত ন থ ক উ পন ন হয ছ ।
a river separates the city into east and west ,শহরট ক একট নদ প র ব আর পশ চ ম ভ গ কর ছ ।
cathode rays carry a negative electric charge ,ক য থ ড রশ ম ঋণ ত মক ব দ য ত ক চ র জ বহন কর ।
do you like looking at yourself in the mirror?,আপন ক আয ন য ন জ ক দ খত পছন দ কর ন?
dynamite was invented by alfred nobel in 1857 , স ল আলফ র ড ন ব ল ড ন ম ইট আব ষ ক র কর ন।
he listened to the music with his eyes closed ,ত ন চ খ বন ধ কর গ ন শ নত ন।
how long do you think tom has been doing this?,কতক ষণ ধর টম এই ক জ করছ বল আপন মন কর ন?
how many black and white movies have you seen?,আপন কতগ ল স দ ক ল স ন ম দ খ ছ ন?
i can t believe that tom really said no to me ,আম ব শ ব সই করত প রছ ন য সত য ই আম ক ন বল ছ ।
i don t know if today is tuesday or wednesday ,আম জ ন ন আজ মঙ গলব র ন ব ধব র।
i feed my cat every morning and every evening ,আম আম র ব ড লক র জ সক ল আর ব ক ল খ ব র দ ই।
i think that tom is reading a detective novel ,আম র মন হয টম একট গ য ন দ উপন য স পড ছ ।
i think that s why tom didn t want to do that ,আম র মন হয এক রণ ই টম ওট করত চ য ন ।
i wouldn t be calling if it weren t important ,দরক র ন হল আম ফ ন করত ম ন ।
i m sure my parents won t let me go by myself ,আম ন শ চ ত আম র ব ব ম আম ক একল য ত দ ব ন ।
it looks like tom has broken a couple of ribs ,মন হচ ছ টম র কয কট প জর ভ ঙ গ ছ ।
it s not always so easy to do the right thing ,সঠ ক জ ন সট কর সবসময অত সহজ হয ন ।
